YearValue,HydroID,Rain
1997,362069,690.1787563
1998,362069,860.0670852
1999,362069,1135.202634
2000,362069,1155.93573
2001,362069,1049.648368
2002,362069,992.6740654
2003,362069,816.0067892
2004,362069,727.0612186
2005,362069,572.141296
2006,362069,945.7695727
2007,362069,841.1277841
2008,362069,995.0842836
2009,362069,851.0203734
2010,362069,729.4265249
2011,362069,740.8285426
2012,362069,866.581164
2007,362985,811.6224332
2008,362985,983.4388891
2009,362985,838.3494576
2010,362985,728.3957811
2011,362985,727.9185896
2012,362985,857.559386
2013,362985,901.9735181
2014,362985,1115.89707
2015,362985,747.4623653
2016,362985,798.1992625
2017,362985,688.4018064
2018,362985,940.5037338
1990,362992,632.2071616
1991,362992,680.8000762
1992,362992,772.797527
1993,362992,783.2816367
1994,362992,1065.053466
1995,362992,811.5960849
1996,362992,701.4885587
1997,362992,715.6966591
1998,362992,845.8805617
1999,362992,1102.633088
2000,362992,1124.960626
2001,362992,1019.222537
2002,362992,948.8746347
2003,362992,781.4575747
2004,362992,702.7406887
2009,362176,846.195505
2010,362176,726.0055176
2011,362176,734.6027268
2012,362176,859.549596
2013,362176,900.1872389
2014,362176,1107.100945
2015,362176,748.4245663
2016,362176,794.1171799
2017,362176,682.3237217
2018,362176,939.2846408
1990,362200,644.4212453
1991,362200,705.9953122
1992,362200,718.3288797
1993,362200,776.7110945
1994,362200,1082.344792
1995,362200,823.2078765
1996,362200,689.9882702
1997,362200,692.3385813
1998,362200,861.489688
1999,362200,1145.580351
2000,362200,1163.575435
2001,362200,1055.609509
2002,362200,997.227707
2003,362200,819.430332
2004,362200,729.2988521
2005,362200,574.3099666
2006,362200,949.5233393
2013,362778,886.6977602
2014,362778,1072.386059
2015,362778,776.8800497
2016,362778,805.4512944
2017,362778,610.0983479
2018,362778,930.2498651
1990,362779,643.8984186
1991,362779,722.2511123
1992,362779,704.6123927
1993,362779,782.2277847
1994,362779,1091.059856
1995,362779,830.0546176
1996,362779,691.2760957
